t;prefix;trueF0;estN
0;10000;8395;8485.52
1;20000;16510;16539.2
2;30000;24676;24970.4
3;40000;32847;32743.7
4;50000;40892;40698.4
5;60000;49093;48273.8
6;70000;57184;56420.2
7;80000;65218;64664.3
8;90000;73280;72858.2
9;100000;81298;80261.9
10;110000;89308;87791.3
11;120000;97350;95640.6
12;130000;105359;104089
13;140000;113375;112288
14;150000;121389;120550
15;160000;129397;129656
16;170000;137441;138145
17;180000;145469;146196
18;190000;153478;154543
19;200000;161528;161568
