t;prefix;trueF0;estN
0;10000;8395;8428.65
1;20000;16510;16560.1
2;30000;24676;24475.4
3;40000;32847;34927.9
4;50000;40892;43079.4
5;60000;49093;49372.6
6;70000;57184;57955.1
7;80000;65218;66366.5
8;90000;73280;72980.6
9;100000;81298;81114.1
10;110000;89308;87856
11;120000;97350;95773.5
12;130000;105359;101998
13;140000;113375;108887
14;150000;121389;116562
15;160000;129397;126497
16;170000;137441;135373
17;180000;145469;143808
18;190000;153478;151218
19;200000;161528;157130
