t;prefix;mean;sigma;low;high
0;10000;8287.06;134.548;8152.51;8421.61
1;20000;16400.2;170.842;16229.3;16571
2;30000;24584.7;318.858;24265.9;24903.6
3;40000;32754.6;423.428;32331.1;33178
4;50000;40881.5;672.472;40209;41554
5;60000;49020.1;750.096;48270;49770.2
6;70000;57140.8;876.871;56263.9;58017.7
7;80000;65286;981.582;64304.4;66267.5
8;90000;73305.4;1068.85;72236.5;74374.2
9;100000;81397.4;1230.89;80166.5;82628.2
10;110000;89486.8;1353.23;88133.6;90840.1
11;120000;97423.5;1429.25;95994.3;98852.8
12;130000;105578;1523.28;104055;107101
13;140000;113832;1656.06;112175;115488
14;150000;121711;1647.57;120063;123358
15;160000;129341;1752.95;127588;131094
16;170000;137257;1938.28;135318;139195
17;180000;145363;2290.76;143073;147654
18;190000;153371;2214.09;151157;155585
19;200000;161166;2418.12;158748;163584
