t;prefix;mean;sigma;low;high
0;10000;8274,5;67,3791;8207,12;8341,88
1;20000;16466;113,577;16352,4;16579,5
2;30000;24629,4;170,544;24458,8;24799,9
3;40000;32767,6;279,414;32488,2;33047
4;50000;41896,6;244,008;41652,6;42140,6
5;60000;49575;285,889;49289,1;49860,9
6;70000;57439,1;350,567;57088,5;57789,7
7;80000;65428,3;459,64;64968,6;65887,9
8;90000;73457,4;465,326;72992;73922,7
9;100000;81454,1;582,241;80871,9;82036,4
10;110000;89384,9;676,807;88708,1;90061,7
11;120000;97455,1;771,642;96683,5;98226,8
12;130000;105476;871,393;104605;106348
13;140000;113636;880,007;112756;114516
14;150000;121681;1043,72;120637;122724
15;160000;129581;1111,3;128470;130692
16;170000;137687;1155,65;136532;138843
17;180000;145554;1370,08;144184;146924
18;190000;153574;1384,31;152190;154958
19;200000;161526;1385,78;160140;162912
